"","state","fips","date","cases","deaths","daily_cases","daily_cases_avg","daily_deaths","daily_deaths_avg","daily_cases_avg_per","daily_deaths_avg_per","weekly_cases_per100k","weekly_deaths_per100k"
"2281","Maryland","24",2020-06-05,57407,2702,917,825.142857142857,34,33.7142857142857,0.000136484705962416,5.57659117159455e-06,95.539294173691,3.90361382011618
"2282","Maryland","24",2020-06-06,58099,2740,692,776.714285714286,38,33,0.000128474263559151,5.45844305355229e-06,89.9319844914054,3.8209101374866
"2283","Maryland","24",2020-06-07,58593,2749,494,733.857142857143,9,31,0.000121385376476615,5.12762832303397e-06,84.9697635336306,3.58933982612378
"2284","Maryland","24",2020-06-08,59024,2776,431,712.714285714286,27,32,0.000117888192182564,5.29303568829313e-06,82.521734527795,3.70512498180519
"2285","Maryland","24",2020-06-09,59543,2811,519,673.142857142857,35,30.5714285714286,0.000111342786443023,5.05673945220861e-06,77.9399505101163,3.53971761654603
"2286","Nevada","32",2020-03-05,2,0,0,NA,0,NA,NA,NA,NA,NA
"2287","Nevada","32",2020-03-06,2,0,0,NA,0,NA,NA,NA,NA,NA
"2288","Nevada","32",2020-03-07,2,0,0,NA,0,NA,NA,NA,NA,NA
"2289","Nevada","32",2020-03-08,4,0,2,NA,0,NA,NA,NA,NA,NA
"2290","Nevada","32",2020-03-09,4,0,0,NA,0,NA,NA,NA,NA,NA
"2291","Nevada","32",2020-03-10,4,0,0,NA,0,NA,NA,NA,NA,NA
"2292","Nevada","32",2020-03-11,7,0,3,0.714285714285714,0,0,2.31899200652731e-07,0,0.162329440456912,0
"2293","Nevada","32",2020-03-12,11,0,4,1.28571428571429,0,0,4.17418561174916e-07,0,0.292192992822441,0
"2294","Nevada","32",2020-03-13,19,0,8,2.42857142857143,0,0,7.88457282219286e-07,0,0.5519200975535,0
"2295","Nevada","32",2020-03-14,21,0,2,2.71428571428571,0,0,8.81216962480379e-07,0,0.616851873736265,0
"2296","Nevada","32",2020-03-15,26,0,5,3.14285714285714,0,0,1.02035648287202e-06,0,0.714249538010412,0
"2297","Nevada","32",2020-03-16,45,1,19,5.85714285714286,1,0.142857142857143,1.9015734453524e-06,4.63798401305463e-08,1.33110141174668,0.0324658880913824
"2298","Nevada","32",2020-03-17,55,1,10,7.28571428571429,0,0.142857142857143,2.36537184665786e-06,4.63798401305463e-08,1.6557602926605,0.0324658880913824
"2299","Nevada","32",2020-03-18,82,1,27,10.7142857142857,0,0.142857142857143,3.47848800979097e-06,4.63798401305463e-08,2.43494160685368,0.0324658880913824
"2300","Nevada","32",2020-03-19,99,1,17,12.5714285714286,0,0.142857142857143,4.08142593148807e-06,4.63798401305463e-08,2.85699815204165,0.0324658880913824
"2301","Nevada","32",2020-03-20,165,2,66,20.8571428571429,1,0.285714285714286,6.77145665905975e-06,9.27596802610925e-08,4.74001966134183,0.0649317761827648
"2302","Nevada","32",2020-03-21,165,2,0,20.5714285714286,0,0.285714285714286,6.67869697879866e-06,9.27596802610925e-08,4.67508788515906,0.0649317761827648
"2303","Nevada","32",2020-03-22,190,2,25,23.4285714285714,0,0.285714285714286,7.60629378140959e-06,9.27596802610925e-08,5.32440564698671,0.0649317761827648
"2304","Nevada","32",2020-03-23,265,4,75,31.4285714285714,2,0.428571428571429,1.02035648287202e-05,1.39139520391639e-07,7.14249538010412,0.0973976642741472
"2305","Nevada","32",2020-03-24,315,6,50,37.1428571428571,2,0.714285714285714,1.2058758433942e-05,2.31899200652731e-07,8.44113090375942,0.162329440456912
"2306","Nevada","32",2020-03-25,405,10,90,46.1428571428571,4,1.28571428571429,1.49806883621664e-05,4.17418561174916e-07,10.4864818535165,0.292192992822441
"2307","Nevada","32",2020-03-26,535,10,130,62.2857142857143,0,1.28571428571429,2.02216102969182e-05,4.17418561174916e-07,14.1551272078427,0.292192992822441
"2308","Nevada","32",2020-03-27,621,10,86,65.1428571428571,0,1.14285714285714,2.11492070995291e-05,3.7103872104437e-07,14.8044449696704,0.259727104731059
"2309","Nevada","32",2020-03-28,738,14,117,81.8571428571429,4,1.71428571428571,2.6575648394803e-05,5.56558081566555e-07,18.6029538763621,0.389590657096589
"2310","Nevada","32",2020-03-29,920,15,182,104.285714285714,1,1.85714285714286,3.38572832952988e-05,6.02937921697101e-07,23.7000983067091,0.422056545187971
"2311","Nevada","32",2020-03-30,1044,18,124,111.285714285714,3,2,3.61298954616955e-05,6.49317761827648e-07,25.2909268231869,0.454522433279353
"2312","Nevada","32",2020-03-31,1113,26,69,114,8,2.85714285714286,3.70111124241759e-05,9.27596802610925e-07,25.9077786969231,0.649317761827648
"2313","Nevada","32",2020-04-01,1279,32,166,124.857142857143,6,3.14285714285714,4.05359802740974e-05,1.02035648287202e-06,28.3751861918682,0.714249538010412
"2314","Nevada","32",2020-04-02,1458,38,179,131.857142857143,6,4,4.28085924404942e-05,1.2986355236553e-06,29.9660147083459,0.909044866558707
"2315","Nevada","32",2020-04-03,1549,43,91,132.571428571429,5,4.71428571428571,4.30404916411469e-05,1.53053472430803e-06,30.1283441488029,1.07137430701562
"2316","Nevada","32",2020-04-04,1758,46,209,145.714285714286,3,4.57142857142857,4.73074369331572e-05,1.48415488417748e-06,33.11520585321,1.03890841892424
